Designator,Footprint,Quantity,Value,LCSC Part #
"A1, A2, A3, A4",Pololu_Breakout-16_15.2x20.3mm,4,Pololu_Breakout_A4988,
A5,Arduino_Mega2560_R3_Shield,1,Arduino_Mega2560_R3_Shield,
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
D1,LED_D5.0mm-4_RGB_Wide_Pins,1,LED_RKGB,
"J1, J2, J3, J4",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,4,Conn_01x04,
J11,PinHeader_1x02_P2.54mm_Vertical,1,SW6,
J12,PinHeader_1x02_P2.54mm_Vertical,1,SW7,
J13,PinHeader_1x02_P2.54mm_Vertical,1,SW8,
J14,PinHeader_1x02_P2.54mm_Vertical,1,SW9,
"J15, J16, J17, J18",PinHeader_2x04_P2.54mm_Vertical,4,Motor Driver Connector,
J19,TerminalBlock_RND_205-00232_1x02_P5.08mm_Horizontal,1,Screw_Terminal_01x02,
J20,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,JOYSTICK,
J21,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,I2C CONNECTOR,
J22,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,ENCODER1,
J23,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,ENCODER2,
J24,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,ENCODER3,
J25,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,ENCODER4,
J26,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,UART CONNECTOR,
"J27, J28, J29, J30, J31, J32, J33, J34, J35, J36, J37, J38",3 pin selector,12,3_pin_selector,
J39,PinHeader_1x02_P2.54mm_Vertical,1,SW10,
J5,PinHeader_1x02_P2.54mm_Vertical,1,SW5,
J6,PinHeader_1x02_P2.54mm_Vertical,1,SW1,
J7,PinHeader_1x02_P2.54mm_Vertical,1,SW2,
J8,PinHeader_1x02_P2.54mm_Vertical,1,SW3,
J9,PinHeader_1x02_P2.54mm_Vertical,1,SW4,
"R1, R10, R2, R3, R4, R5, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10,10kΩ,
"R11, R12, R13",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,220Ω,
