Designator,Mid X,Mid Y,Rotation,Layer
A1,125.77,-75.85,90.0,top
A2,154.826,-75.89,90.0,top
A3,125.73,-104.35,90.0,top
A4,155.088,-104.35,90.0,top
A5,148.463,-90.17,0.0,top
BZ1,179.07,-106.68,0.0,top
D1,179.3875,-97.155,180.0,top
J1,122.25,-88.0,0.0,top
J11,99.722,-92.6372,90.0,top
J12,99.722,-88.6096,90.0,top
J13,99.722,-84.582,90.0,top
J14,99.722,-80.5544,90.0,top
J15,121.372,-75.855,270.0,top
J16,150.428,-75.895,270.0,top
J17,121.332,-104.355,270.0,top
J18,150.69,-104.355,270.0,top
J19,99.06,-68.834,270.0,top
J2,151.19,-88.0,0.0,top
J20,179.003,-80.501,0.0,top
J21,179.13,-88.502,0.0,top
J22,139.232,-75.79,90.0,top
J23,168.288,-75.83,90.0,top
J24,139.192,-104.29,90.0,top
J25,168.55,-104.29,90.0,top
J26,178.923,-72.39,0.0,top
J27,130.897,-70.271,0.0,bottom
J28,130.897,-73.771,0.0,bottom
J29,130.897,-77.271,0.0,bottom
J3,136.577,-92.5,180.0,top
J30,159.953,-70.311,0.0,bottom
J31,159.953,-73.811,0.0,bottom
J32,159.953,-77.311,0.0,bottom
J33,130.857,-98.771,0.0,bottom
J34,130.857,-102.271,0.0,bottom
J35,130.857,-105.771,0.0,bottom
J36,160.215,-98.771,0.0,bottom
J37,160.215,-102.271,0.0,bottom
J38,160.215,-105.771,0.0,bottom
J39,99.722,-76.5267,90.0,top
J4,165.414,-92.0,180.0,top
J5,99.722,-96.6649,90.0,top
J6,99.722,-112.522,90.0,top
J7,99.722,-108.7477,90.0,top
J8,99.722,-104.7201,90.0,top
J9,99.722,-100.6925,90.0,top
R1,109.0,-92.0,180.0,top
R10,109.0,-75.8895,180.0,top
R11,192.5,-83.5,270.0,top
R12,192.5,-94.31,90.0,top
R13,192.5,-104.81,90.0,top
R2,109.0,-108.0,180.0,top
R3,109.0,-104.0828,180.0,top
R4,109.0,-100.0552,180.0,top
R5,109.0,-96.0276,180.0,top
R6,109.018,-71.8618,180.0,top
R7,109.0,-87.9723,180.0,top
R8,109.0,-83.9447,180.0,top
R9,109.0,-79.9171,180.0,top
