name,type,ra_hours,dec_degrees,mag,comment
M31,Galaxy,0.712,41.269,3.4,Andromède très facile
M32,Galaxy,0.713,40.865,8.1,Compagne de M31
M110,Galaxy,0.673,41.685,8.0,Compagne de M31
M34,Open Cluster,2.708,42.750,5.5,Amas ouvert facile
M36,Open Cluster,5.600,34.140,6.3,Très beau amas
M37,Open Cluster,5.870,32.550,5.6,Un des plus beaux
M38,Open Cluster,5.480,35.850,6.4,Amas large
M41,Open Cluster,6.767,-20.733,4.5,Visible même en ville
M42,Nebula,5.590,-5.450,4.0,Nébuleuse d'Orion spectaculaire
M44,Open Cluster,8.667,19.667,3.1,Amas de la Crèche
M45,Open Cluster,3.783,24.117,1.6,Pléiades
M46,Open Cluster,7.700,-14.817,6.1,Amas riche
M47,Open Cluster,7.617,-14.483,4.4,Amas brillant
M48,Open Cluster,8.217,-5.800,5.5,Facile
M50,Open Cluster,7.033,-8.333,5.9,Amas compact
M51,Galaxy,13.500,47.200,8.4,Galaxie du Tourbillon
M52,Open Cluster,23.267,61.600,6.9,Très haut au Québec
M57,Nebula,18.900,33.033,8.8,Nébuleuse de la Lyre
M65,Galaxy,11.300,13.083,9.3,Facile dans le Lion
M66,Galaxy,11.333,12.983,8.9,Facile dans le Lion
M81,Galaxy,9.933,69.067,6.9,Très facile au Québec
M82,Galaxy,9.933,69.683,8.4,Très facile au Québec
M92,Globular Cluster,17.283,43.133,6.4,Facile
M13,Globular Cluster,16.700,36.467,5.8,Le plus beau globulaire
M3,Globular Cluster,13.700,28.383,6.2,Très lumineux
M27,Nebula,19.983,22.717,7.4,Nébuleuse Dumbbell
M56,Globular Cluster,19.283,30.183,8.3,Facile
M71,Globular Cluster,19.900,18.783,8.2,Facile
M103,Open Cluster,1.533,60.700,7.4,Très haut au Québec
